<NUM> ; 141654
# <NUM> 141643
& # 141625
; s 63959
, and 46358
quot ; 41206
& quot 41192
. and 40607
- - 26888
; t 26174
it & 25386
of the 24411
in the 23060
. so 20566
; re 19279
. i 18816
i & 17523
, i 16681
. it 15885
, the 14952
, but 14323
, & 14160
and i 13456
. we 13175
we & 13171
. but 12977
this is 12646
, we 12474
. & 12289
that & 11822
. the 11234
; ve 10646
and the 10461
, you 10346
; m 10264
, it 9898
going to 9886
to be 9644
to the 9533
don & 9523
you & 9520
on the 8665
. this 8036
you can 7913
that we 7721
is a 7586
if you 7483
they & 7354
i was 7245
. they 7237
s a 7078
. you 7064
and it 6803
. now 6784
the world 6762
and we 6756
in a 6715
. (laughter) 6708
at the 6681
there & 6657
, that 6386
to do 6353
, which 6304
now , 6254
, because 6178
is the 6176
it was 6132
it . 6065
, they 5959
, in 5948
we have 5938
want to 5863
we can 5822
and then 5457
, a 5303
i think 5222
one of 5188
and that 5138
of a 5057
have to 5012
that i 4992
a lot 4983
you know 4954
. in 4940
and they 4872
. that 4853
is that 4844
for the 4803
kind of 4783
, so 4714
said , 4691
; ll 4631
; and 4606
well , 4535
so , 4508
and so 4433
, or 4357
and you 4242
so i 4162
have a 4137
with the 4133
. there 4126
from the 4087
that the 4080
as a 4047
, to 4034
. (applause) 4029
the same 4024
it is 3985
you . 3979
it , 3942
; d 3913
<NUM> , 3826
the first 3811
was a 3748
lot of 3740
all the 3729
<NUM> years 3727
know , 3690
thank you 3662
there are 3660
, there 3648
, if 3642
s the 3602
, this 3598
what we 3589
didn & 3586
s not 3580
you have 3541
a little 3524
? & 3473
that , 3454
and this 3453
all of 3439
out of 3420
that you 3417
. he 3416
, what 3404
when i 3369
which is 3360
. if 3343
to get 3335
, as 3333
. what 3263
to make 3256
in this 3220
; i 3204
that is 3200
look at 3199
about the 3164
we are 3152
what i 3131
but i 3126
if we 3113
need to 3106
the way 3085
is , 3082
can & 3067
<NUM> percent 3064
so we 3056
able to 3028
with a 3009
, is 2995
of this 2932
when you 2868
and he 2827
but it 2822
, when 2802
i want 2778
for a 2764
that they 2749
that . 2724
by the 2715
. . 2713
me , 2706
a very 2705
the most 2695
to a 2670
i had 2661
i have 2657
of these 2652
into the 2642
there is 2627
what & 2618
is not 2596
this . 2594
in <NUM> 2580
let & 2573
, for 2572
i don 2572
and a 2558
- and 2546
say , 2544
of our 2505
doesn & 2502
, like 2499
some of 2496
they were 2437
them . 2435
to have 2404
we need 2398
of course 2375
to go 2371
that was 2361
i can 2350
that it 2340
. when 2318
you see 2310
on a 2307
the other 2302
, he 2301
, <NUM> 2280
can see 2275
to see 2271
and what 2260
in fact 2257
and in 2241
time , 2239
world . 2237
this , 2228
re going 2215
part of 2214
so that 2200
t have 2180
he & 2178
, where 2169
when we 2160
that are 2158
of my 2142
m going 2136
trying to 2125
. thank 2118
, who 2112
a few 2110
they are 2099
in my 2091
sort of 2083
of them 2075
we were 2066
<NUM> . 2060
was the 2058
think about 2053
, of 2046
to me 2044
people who 2026
, not 2023
t know 2015
years ago 2012
me . 1992
like this 1991
fact , 1983
you , 1973
i would 1969
be a 1968
what you 1961
but the 1946
time . 1945
do you 1934
would be 1917
can be 1913
there was 1907
he was 1889
percent of 1876
in our 1873
have been 1871
wanted to 1866
of us 1865
ve got 1848
of you 1846
are the 1840
♫ ♫ 1837
and if 1835
had to 1827
them , 1823
the next 1821
there . 1819
and there 1819
. a 1818
here & 1810
the last 1807
over the 1804
of that 1801
how to 1801
world , 1790
? and 1787
is to 1774
here , 1772
we don 1767
the time 1766
of people 1765
like to 1752
, with 1750
so the 1745
about <NUM> 1737
because it 1732
like , 1712
tell you 1695
around the 1690
course , 1689
but we 1688
i said 1680
had a 1679
if i 1671
will be 1669
ve been 1667
like a 1666
i mean 1658
have the 1648
talk about 1648
to take 1647
. these 1645
back to 1644
; the 1639
we do 1639
here . 1628
we had 1625
these are 1620
<NUM> - 1620
do it 1617
they have 1609
years , 1601
because i 1601
; (laughter) 1600
things that 1592
s going 1578
little bit 1576
people , 1564
, then 1557
to say 1556
. she 1556
us . 1555
. one 1551
; it 1551
more than 1544
the people 1540
and when 1540
a new 1537
as the 1535
- i 1531
of it 1530
? well 1527
think that 1519
so what 1510
, how 1509
we could 1500
. because 1500
. my 1498
, my 1493
of all 1490
is what 1490
, all 1482
i am 1473
life . 1468
ago , 1468
you to 1466
can do 1465
there , 1460
this was 1454
so it 1450
about it 1448
re not 1441
- the 1441
us to 1440
they can 1434
right ? 1430
s what 1427
we know 1426
and to 1419
be able 1418
go to 1414
the right 1412
something that 1411
. for 1411
know that 1411
you don 1409
you are 1408
most of 1407
you want 1403
who are 1403
what is 1399
of those 1398
i know 1396
not just 1396
see the 1390
. here 1389
and she 1384
you get 1380
. ( 1378
do that 1376
so this 1374
i could 1373
? i 1368
so you 1357
what they 1357
of what 1350
, one 1349
us , 1349
has been 1346
people . 1345
that there 1345
at a 1339
i thought 1339
for me 1335
, just 1332
he said 1332
let me 1329
way , 1327
. let 1325
for example 1324
wasn & 1324
, right 1323
way to 1319
into a 1318
again , 1317
up to 1315
just a 1312
do . 1312
(laughter) and 1311
. as 1300
the end 1299
it to 1298
like the 1295
is an 1292
mean , 1287
; you 1286
used to 1284
to <NUM> 1283
isn & 1282
example , 1282
to tell 1280
to you 1278
know what 1273
because we 1269
the future 1264
what it 1261
in your 1260
to think 1259
try to 1258
to talk 1257
in that 1251
from a 1249
as you 1247
about this 1246
as i 1245
because they 1236
right now 1231
as we 1229
, at 1222
today , 1219
each other 1213
<NUM> million 1211
so much 1211
through the 1210
the best 1209
where we 1207
. well 1205
not a 1202
talking about 1202
day , 1201
see , 1199
of their 1198
; so 1195
years . 1193
that this 1192
you could 1188
as well 1185
the united 1185
, even 1184
to find 1183
you think 1182
, very 1180
, no 1173
me to 1173
up , 1172
them to 1170
with this 1170
looking at 1169
the only 1164
to work 1161
are not 1160
things . 1160
make a 1158
show you 1157
on this 1157
many of 1156
very much 1156
when they 1155
and , 1151
is it 1150
think of 1144
got to 1143
it in 1141
and as 1141
way . 1139
because of 1138
, she 1135
do this 1132
of <NUM> 1131
now . 1131
up . 1129
in their 1129
- it 1126
but they 1123
how do 1120
united states 1120
she & 1118
would have 1107
; & 1106
? what 1104
not only 1103
is going 1102
s an 1102
out , 1101
m not 1101
it has 1096
. how 1095
on . 1094
much . 1094
we want 1091
up with 1090
couldn & 1087
because the 1085
what the 1084
, our 1084
to this 1083
