& # <NUM> 141625
# <NUM> ; 141625
<NUM> ; s 63954
& quot ; 41192
<NUM> ; t 26147
it & # 25284
<NUM> ; re 19278
i & # 17513
, & quot 13881
we & # 13153
. & quot 12053
that & # 11725
<NUM> ; ve 10646
<NUM> ; m 10252
don & # 9523
you & # 9489
. it & 8157
they & # 7349
; s a 7034
there & # 6653
. this is 5006
, and i 4990
. and i 4745
<NUM> ; ll 4631
, it & 4409
quot ; and 4333
said , & 3884
. now , 3882
<NUM> ; d 3851
a lot of 3636
didn & # 3586
; s the 3585
; s not 3548
. i & 3538
? & quot 3411
, and it 3221
you know , 3123
can & # 3061
, and we 3029
, i & 3020
. so , 2938
and it & 2809
quot ; i 2809
one of the 2805
. and the 2759
, and the 2725
. that & 2704
, which is 2650
what & # 2603
let & # 2573
i don & 2553
this is a 2541
doesn & # 2502
. and so 2491
. we & 2450
, and they 2407
, we & 2319
- - and 2271
. and it 2261
. and we 2231
thank you . 2225
; re going 2191
. so i 2180
he & # 2174
; t have 2170
and i & 2153
, and that 2148
; m going 2120
. thank you 2108
i want to 2096
m going to 2063
re going to 2042
. and that 2024
; t know 2002
, and then 1992
, you know 1990
and that & 1973
. and then 1950
this is the 1891
in fact , 1881
. and this 1854
; ve got 1840
here & # 1804
, and you 1790
. it was 1771
we don & 1759
you can see 1756
and this is 1741
, if you 1711
. so we 1687
in the world 1661
, you & 1658
; ve been 1658
of course , 1644
. if you 1622
you . (applause) 1620
, but it 1599
quot ; (laughter) 1593
. there & 1592
going to be 1587
. they & 1573
; s going 1569
the world . 1536
a little bit 1536
, but i 1511
- - i 1504
we need to 1502
, this is 1492
<NUM> percent of 1486
, that & 1484
, you can 1444
say , & 1440
; re not 1433
. you can 1425
, there & 1421
; s what 1416
quot ; the 1409
be able to 1408
you don & 1396
. . . 1368
that we & 1344
. i was 1340
wasn & # 1324
? well , 1293
- - the 1289
isn & # 1282
we have to 1270
i said , 1261
, i think 1258
i mean , 1233
, and he 1229
, in the 1226
. but i 1226
if you & 1222
and we & 1218
, they & 1202
, i was 1198
but it & 1197
quot ; so 1175
. and you 1175
in <NUM> , 1170
. we have 1166
the world , 1142
s going to 1125
for example , 1124
you have to 1121
she & # 1117
. and they 1116
; s an 1097
; m not 1095
, of course 1094
couldn & # 1087
- - it 1083
. so what 1082
, we have 1082
. so the 1081
- - that 1071
of the world 1061
; & quot 1054
years ago , 1054
the united states 1053
. and if 1047
and i think 1045
quot ; you 1039
. i think 1035
, we can 1033
; s just 1028
i didn & 1020
some of the 1012
, and this 1010
. and what 1009
. you & 993
. there are 985
. well , 980
you want to 976
. but the 976
. in fact 975
. but it 970
and they & 970
you can & 961
. and in 959
. in the 956
look at the 950
. so this 947
; t want 947
he said , 946
quot ; & 945
, right ? 934
when i was 930
to be a 929
. you know 928
. we can 928
around the world 919
quot ; well 917
they don & 914
: & quot 913
, it was 911
part of the 909
it doesn & 905
that i & 898
it . and 896
. (laughter) and 887
is going to 884
, and so 883
this is what 869
, but we 860
and you can 860
out of the 855
. and when 853
quot ; what 852
that it & 842
the end of 833
it was a 832
; s been 830
what i & 829
; s really 828
who & # 827
and if you 825
; it & 823
and i was 821
. let & 820
. it is 817
; and i 816
; s very 816
in order to 814
<NUM> years ago 809
it , and 805
. i mean 799
i wanted to 793
; well , 793
- - (laughter) 791
what we & 790
quot ; it 788
; d like 788
that we can 786
there is a 785
; s no 785
percent of the 783
so this is 777
quot ; but 774
we have a 767
wouldn & # 765
. so it 762
- - you 758
and it was 756
thank you very 749
very much . 749
. and he 748
. and there 748
you very much 746
, but they 745
so i & 743
; i & 740
, because it 738
quot ; we 737
, but the 736
. i don 736
the u . 736
a couple of 729
to talk about 728
we want to 722
that we have 722
; s about 721
, for example 719
. s . 715
says , & 714
, so i 707
. these are 706
it turns out 705
and you & 705
. here & 705
, because i 703
and there & 701
very , very 697
because it & 697
, and in 695
there was a 695
won & # 693
i think that 690
not going to 689
the fact that 688
so it & 687
- - we 686
like this . 684
to tell you 684
to me , 682
d like to 682
, and there 677
now , i 674
, there are 674
you look at 674
the first time 671
. (laughter) so 670
u . s 662
t want to 659
<NUM> years , 657
; t really 652
. but what 650
. but we 650
to be able 649
are going to 645
- year - 644
- - a 640
to show you 635
, and she 635
in the middle 635
. ca : 635
. when i 633
; t be 631
, you have 620
i think , 618
. so that 618
ve got to 617
that you can 617
. so you 616
; t do 616
called & quot 616
in terms of 614
all of the 614
; t think 612
world & # 610
; s like 609
year - old 608
, let & 607
( music ) 607
. the first 606
; t even 605
; s actually 604
- it & 604
; re doing 600
. we are 600
. we need 597
. he & 596
i think it 594
; s all 594
<NUM> , <NUM> 590
. and as 587
quot ; that 586
, and what 585
the world & 583
; m a 583
if you look 582
the rest of 582
. there is 578
much . (applause) 578
; s one 578
in front of 577
. i want 577
. so if 574
that you & 573
to do with 573
think it & 568
; t get 567
at the same 566
going to do 566
, and if 563
- - this 562
like , & 562
of the most 561
so that & 561
aren & # 559
. one of 559
- - they 556
; ll be 555
, and a 553
i can & 553
; s also 552
. if we 552
, when i 551
to do it 551
as well . 551
t have to 548
<NUM> years . 548
this is not 546
, if we 546
but i & 546
to have a 545
quot ; he 543
a kind of 541
what you & 541
and i said 541
haven & # 541
quot ; oh 540
. (laughter) but 540
the same time 538
. i have 537
and so i 536
people & # 535
to do that 533
- - but 533
; s why 531
at the end 531
; re in 528
i was a 528
a <NUM> - 528
, so that 527
in the united 525
quot ; this 523
, in a 522
to do . 522
and then we 520
well , i 519
we can do 517
is that we 517
, when you 517
, because we 516
. i had 516
i have to 515
so , i 515
it . so 514
we can & 514
, there is 513
. (laughter) i 513
back to the 513
to look at 512
the things that 511
all over the 510
and then i 509
, in fact 509
and that is 509
! & quot 509
; re all 508
about it . 507
end of the 506
the kind of 505
, well , 505
i think we 505
to think about 504
, one of 504
. they were 503
so we & 502
. but if 502
of it . 499
have to be 498
; s called 497
you have a 497
i had to 497
by the way 496
is one of 496
was going to 495
; s in 493
<NUM> - year 492
, i would 491
, i don 489
; t see 486
all of us 484
and in the 481
; re a 479
is that the 479
, it is 479
quot ; no 478
for me , 478
to say , 477
for the first 477
; t just 475
, so we 474
, and when 474
want to be 473
, like , 472
. he was 470
it wasn & 469
<NUM> to <NUM> 469
, because the 468
to do is 467
how do we 467
to do this 467
the way , 466
, but you 465
to make a 465
in the last 464
. they are 463
and he said 462
most of the 462
. this was 461
at the time 461
all the time 460
of the things 458
how do you 457
when you & 457
; s got 456
, i can 454
and so , 454
, we are 453
. and here 453
this kind of 453
; t . 452
in <NUM> . 452
, i had 452
that they & 451
i thought , 451
all of these 449
and said , 449
i went to 449
to be the 448
? it & 447
now , the 446
. that is 445
. let me 445
to go to 444
you see , 444
she said , 443
. so let 441
. you have 440
- - in 440
, because they 440
and we can 439
we didn & 439
, which was 439
this is an 439
to try to 438
and a half 436
one of these 435
. and , 435
the last <NUM> 435
the way we 435
, i have 435
if you want 434
and of course 433
to figure out 433
years ago . 433
there is no 432
the people who 431
. but there 431
do it . 430
like this , 427
i have a 427
. ( music 427
what do you 425
and so on 424
you need to 423
. so here 422
and so we 422
you know what 422
and one of 421
want you to 420
; s something 420
but if you 419
it . i 419
you can do 418
in a way 417
it would be 416
people who are 416
; s how 416
weren & # 413
